lon,lat,NREdom/PREdom,MAT,MAP,T_seasonality,P_seasonality,pH,CEC,Clay,Ndep,GPP,NDVI,VegeType,,,
117.72 ,26.51 ,0.87 ,19.2 ,1628,692.8 ,63.1 ,55,9,27,18.9 ,14463 ,7343,1,,,-0.139262067
106.99 ,26.47 ,0.90 ,14.8 ,1089,702.9 ,69.2 ,61,16,30,24.7 ,8873 ,6576,1,,,-0.105360516
105.79 ,26.29 ,0.63 ,15.0 ,1250,639.8 ,75.0 ,61,16,36,24.2 ,9449 ,5540,1,,,-0.46203546
117.48 ,26.19 ,0.85 ,19.2 ,1750,659.6 ,60.7 ,55,14,28,18.7 ,16069 ,7686,1,,,-0.162518929
117.45 ,26.17 ,0.74 ,19.0 ,1749,666.7 ,60.9 ,56,10,29,18.7 ,15759 ,7558,1,,,-0.301105093
114.28 ,26.09 ,0.70 ,18.1 ,1457,762.1 ,51.4 ,55,9,27,25.4 ,15849 ,7478,1,,,-0.356674944
101.82 ,25.83 ,1.06 ,12.8 ,2510,461.4 ,96.0 ,73,21,35,13.0 ,6135 ,4972,1,,,0.058268908
116.41 ,25.68 ,0.71 ,18.2 ,1850,688.8 ,58.1 ,56,8,27,19.1 ,9375 ,6978,1,,,-0.342490309
101.54 ,25.41 ,1.12 ,15.5 ,898,468.2 ,83.9 ,61,20,31,12.9 ,15424 ,6169,1,,,0.113328685
107.93 ,25.28 ,0.60 ,15.3 ,1752,696.4 ,67.8 ,56,15,29,24.7 ,13299 ,7220,1,,,-0.510825624
117.35 ,24.50 ,0.74 ,20.8 ,1703,604.7 ,59.2 ,56,10,25,15.2 ,20792 ,7305,1,,,-0.301105093
117.41 ,23.63 ,0.78 ,20.8 ,945,546.0 ,66.8 ,62,10,20,13.3 ,2317 ,1529,1,,,-0.248461359
117.41 ,23.63 ,0.85 ,20.8 ,945,546.0 ,66.8 ,62,10,20,13.3 ,2317 ,1529,1,,,-0.162518929
112.54 ,23.16 ,0.75 ,21.5 ,1927,580.8 ,66.3 ,58,9,25,29.3 ,16493 ,6060,1,,,-0.287682072
112.54 ,23.16 ,0.68 ,21.5 ,1927,580.8 ,66.3 ,58,9,25,29.3 ,16493 ,6060,1,,,-0.385662481
112.90 ,22.68 ,0.73 ,21.7 ,1700,562.9 ,69.0 ,54,11,22,25.4 ,11015 ,6239,1,,,-0.314710745
112.90 ,22.68 ,0.92 ,21.7 ,1700,562.9 ,69.0 ,54,11,22,25.4 ,11015 ,6239,1,,,-0.083381609
-159.53 ,22.10 ,1.01 ,14.0 ,2500,178.6 ,25.7 ,48,37,30,0.8 ,27996 ,7890,1,,,0.009950331
100.42 ,21.45 ,0.78 ,18.0 ,1379,318.7 ,84.3 ,55,20,33,14.5 ,26618 ,8144,1,,,-0.248461359
-155.47 ,19.83 ,0.82 ,16.0 ,2500,139.3 ,41.1 ,64,50,19,0.8 ,17277 ,8000,1,,,-0.198450939
-101.34 ,19.62 ,0.97 ,17.6 ,805,195.4 ,103.5 ,59,32,35,8.8 ,19886 ,6911,1,,,-0.030459207
-105.02 ,19.48 ,0.70 ,25.0 ,772,207.1 ,111.2 ,63,20,41,4.5 ,23696 ,3706,1,,,-0.356674944
-155.29 ,19.38 ,0.54 ,16.0 ,2500,122.0 ,38.0 ,61,54,30,0.9 ,6776 ,7800,1,,,-0.616186139
-95.11 ,18.58 ,0.83 ,25.1 ,4487,215.9 ,68.9 ,57,22,34,5.5 ,28853 ,8450,1,,,-0.186329578
-99.02 ,18.47 ,0.65 ,24.5 ,850,170.0 ,108.1 ,68,28,38,8.0 ,17318 ,6249,1,,,-0.430782916
-76.65 ,18.10 ,0.72 ,15.5 ,2750,140.4 ,36.9 ,47,32,28,3.0 ,35798 ,5498,1,,,-0.328504067
-1.40 ,10.43 ,0.97 ,26.0 ,3800,209.4 ,98.9 ,63,10,21,5.5 ,8011 ,4674,1,,,-0.030459207
-64.28 ,10.35 ,0.73 ,27.5 ,466,58.5 ,55.6 ,63,22,33,3.4 ,14537 ,7868,1,,,-0.314710745
-79.84 ,9.11 ,0.77 ,26.0 ,2600,67.9 ,62.6 ,54,25,32,5.0 ,26452 ,7085,1,,,-0.261364764
-62.73 ,9.00 ,0.78 ,27.0 ,1108,61.5 ,59.9 ,59,11,23,2.6 ,7054 ,5573,1,,,-0.248461359
-67.37 ,8.85 ,0.66 ,26.8 ,1328,98.9 ,87.2 ,58,17,32,5.5 ,9283 ,5652,1,,,-0.415515444
-70.28 ,8.64 ,0.79 ,26.6 ,1582,57.1 ,65.2 ,56,15,27,6.7 ,9987 ,6716,1,,,-0.235722334
-66.14 ,7.59 ,0.91 ,26.7 ,1511,64.1 ,82.1 ,55,11,26,4.0 ,6482 ,6014,1,,,-0.094310679
80.65 ,7.15 ,0.74 ,16.0 ,1905,76.3 ,31.6 ,51,17,37,8.9 ,23842 ,7561,1,,,-0.301105093
80.82 ,6.92 ,0.58 ,16.0 ,2013,78.7 ,28.1 ,50,20,35,9.7 ,25058 ,7644,1,,,-0.544727175
116.55 ,6.08 ,0.74 ,18.0 ,2750,141.7 ,23.6 ,51,54,20,3.7 ,3721 ,7635,1,,,-0.301105093
9.00 ,5.18 ,0.70 ,26.0 ,5460,87.1 ,66.7 ,47,16,33,9.7 ,19863 ,6004,1,,,-0.356674944
-67.05 ,1.93 ,0.68 ,26.0 ,3565,49.6 ,24.9 ,43,7,18,2.5 ,24369 ,7960,1,,,-0.385662481
-61.33 ,-3.33 ,0.75 ,31.6 ,1800,32.3 ,47.8 ,42,12,31,3.6 ,24719 ,7808,1,,,-0.287682072
-74.35 ,-4.73 ,0.52 ,13.0 ,4487,40.5 ,24.0 ,42,14,24,2.9 ,31521 ,7765,1,,,-0.653926467
-56.07 ,-15.73 ,0.92 ,26.5 ,1420,152.6 ,67.2 ,54,5,16,6.9 ,14440 ,6927,1,,,-0.083381609
-47.87 ,-15.92 ,0.68 ,20.8 ,1350,122.3 ,79.4 ,50,8,44,6.5 ,10968 ,5776,1,,,-0.385662481
-47.90 ,-15.93 ,0.78 ,22.3 ,1559,123.7 ,79.6 ,52,8,42,6.5 ,14643 ,5414,1,,,-0.248461359
-54.41 ,-16.50 ,0.80 ,26.5 ,1420,192.0 ,75.8 ,55,8,23,6.9 ,12730 ,7123,1,,,-0.223143551
-47.63 ,-21.70 ,0.69 ,22.0 ,1500,224.8 ,73.0 ,55,9,41,9.1 ,19260 ,7056,1,,,-0.371063681
-58.00 ,-27.50 ,0.81 ,21.5 ,1300,414.0 ,32.0 ,58,20,27,7.9 ,11938 ,7003,1,,,-0.210721031
31.95 ,-28.22 ,0.82 ,24.0 ,653,263.3 ,47.2 ,59,13,34,4.8 ,18346 ,5986,1,,,-0.198450939
